


200;20;1;0.9095951509661973
size=200;  patch=20;  processor=1;  runtime=0.9095951509661973



200;20;1;1.0099076409824193
size=200;  patch=20;  processor=1;  runtime=1.0099076409824193



200;20;1;0.9095543143339455
size=200;  patch=20;  processor=1;  runtime=0.9095543143339455



1000;20;1;21.254475434310734
size=1000;  patch=20;  processor=1;  runtime=21.254475434310734



1000;20;1;21.15410815225914
size=1000;  patch=20;  processor=1;  runtime=21.15410815225914



1000;20;1;21.254498367663473
size=1000;  patch=20;  processor=1;  runtime=21.254498367663473



200;20;2;0.5121766910888255
size=200;  patch=20;  processor=2;  runtime=0.5121766910888255



200;20;2;0.5122583033517003
size=200;  patch=20;  processor=2;  runtime=0.5122583033517003



200;20;2;0.5126111982390285
size=200;  patch=20;  processor=2;  runtime=0.5126111982390285



1000;20;2;10.641465253196657
size=1000;  patch=20;  processor=2;  runtime=10.641465253196657



1000;20;2;10.741757534909993
size=1000;  patch=20;  processor=2;  runtime=10.741757534909993



1000;20;2;10.640045683830976
size=1000;  patch=20;  processor=2;  runtime=10.640045683830976



200;20;4;0.31465743482112885
size=200;  patch=20;  processor=4;  runtime=0.31465743482112885



200;20;4;0.31446567410603166
size=200;  patch=20;  processor=4;  runtime=0.31446567410603166



200;20;4;0.31449276907369494
size=200;  patch=20;  processor=4;  runtime=0.31449276907369494



1000;20;4;5.334196163341403
size=1000;  patch=20;  processor=4;  runtime=5.334196163341403



1000;20;4;5.436460426077247
size=1000;  patch=20;  processor=4;  runtime=5.436460426077247



1000;20;4;5.336258397437632
size=1000;  patch=20;  processor=4;  runtime=5.336258397437632



200;20;8;0.21917561627924442
size=200;  patch=20;  processor=8;  runtime=0.21917561627924442



200;20;8;0.21909452136605978
size=200;  patch=20;  processor=8;  runtime=0.21909452136605978



200;20;8;0.21863848716020584
size=200;  patch=20;  processor=8;  runtime=0.21863848716020584



1000;20;8;2.7366273729130626
size=1000;  patch=20;  processor=8;  runtime=2.7366273729130626



1000;20;8;2.8358031366951764
size=1000;  patch=20;  processor=8;  runtime=2.8358031366951764



1000;20;8;2.7362904269248247
size=1000;  patch=20;  processor=8;  runtime=2.7362904269248247



200;20;16;0.22836553305387497
size=200;  patch=20;  processor=16;  runtime=0.22836553305387497



200;20;16;0.22815033607184887
size=200;  patch=20;  processor=16;  runtime=0.22815033607184887



200;20;16;0.22892932407557964
size=200;  patch=20;  processor=16;  runtime=0.22892932407557964



1000;20;16;1.4425391689874232
size=1000;  patch=20;  processor=16;  runtime=1.4425391689874232



1000;20;16;1.4427879499271512
size=1000;  patch=20;  processor=16;  runtime=1.4427879499271512



1000;20;16;1.4428535010665655
size=1000;  patch=20;  processor=16;  runtime=1.4428535010665655



200;20;24;0.13920083874836564
size=200;  patch=20;  processor=24;  runtime=0.13920083874836564



200;20;24;0.1389480517245829
size=200;  patch=20;  processor=24;  runtime=0.1389480517245829



200;20;24;0.13863552594557405
size=200;  patch=20;  processor=24;  runtime=0.13863552594557405



1000;20;24;1.0561709119938314
size=1000;  patch=20;  processor=24;  runtime=1.0561709119938314



1000;20;24;1.0536452420055866
size=1000;  patch=20;  processor=24;  runtime=1.0536452420055866



1000;20;24;1.0550987892784178
size=1000;  patch=20;  processor=24;  runtime=1.0550987892784178



200;20;32;0.15134272119030356
size=200;  patch=20;  processor=32;  runtime=0.15134272119030356



200;20;32;0.14991406397894025
size=200;  patch=20;  processor=32;  runtime=0.14991406397894025



200;20;32;0.251937922090292
size=200;  patch=20;  processor=32;  runtime=0.251937922090292



1000;20;32;0.872673955745995
size=1000;  patch=20;  processor=32;  runtime=0.872673955745995



1000;20;32;0.8735516490414739
size=1000;  patch=20;  processor=32;  runtime=0.8735516490414739



1000;20;32;0.8735432797111571
size=1000;  patch=20;  processor=32;  runtime=0.8735432797111571
